time,odom_x,odom_y,odom_theta,est_x,est_y,est_theta,diff,rate_of_change,expected_change,particle_std_x,particle_std_y,particle_std_theta,linear_vel,angular_vel,anomaly_detected,attack_active
1757357343.608098,0.7167278091669219,-2.3206581394670738,-2.5363,0.723325426227171,-2.2733445685782345,-2.5450310392603113,0.048562676899981526,0.5661969690932628,0.012937784194946289,0.0846026070924481,0.03547296206556131,0.08245066959020891,0.5,0.0,1,1
1757357343.643773,0.7180114333413192,-2.3197190620650696,-2.5315,0.7154559846563667,-2.2807653290832217,-2.5307858563620473,0.03904399611128654,0.16978253388980696,0.014891505241394043,0.08377319061696903,0.034623564303140154,0.07886228968768566,0.5,0.0,1,1
1757357343.6766956,0.719251696585273,-2.318800730722189,-2.5264,0.7129882380502546,-2.285918144813748,-2.5254330669086253,0.033487763861581976,0.17899538379134738,0.014884114265441895,0.07426285546953357,0.03410642338787687,0.06730043231854264,0.5,0.0,1,1
1757357343.7075655,0.7149634935024585,-2.3220687735381897,-2.5136,0.7187490165661081,-2.288559269110656,-2.52010150713165,0.034343655408637125,0.46693942747379996,0.014872550964355469,0.06791198798489326,0.033390394536356886,0.0627480712904955,0.5,0.0,1,1
1757357343.7421973,0.7139625319963607,-2.3228232715148276,-2.5015,0.7178390612916247,-2.2919494419931916,-2.5022274233769273,0.03112474856890222,0.3936934255974168,0.01544952392578125,0.07332919658979059,0.032187475709639,0.07122629145687658,0.5,0.0,1,1
1757357343.7787328,0.7130006752323812,-2.323567641004936,-2.4891,0.7171906107726396,-2.295918360695967,-2.4911101700879708,0.028037101227088697,0.42277283307793584,0.01473546028137207,0.07098063546363613,0.02844027623133745,0.0771205848034859,0.5,0.0,1,1
1757357343.8090122,0.7158127128944741,-2.321270167340871,-2.4816,0.7164301621340916,-2.296462575694792,-2.4864661376065955,0.025287885282254247,0.28476073294361237,0.014631271362304688,0.07344820685251681,0.02733198505138933,0.07909593675739102,0.5,0.0,1,1
1757357343.8413846,0.7169641133902871,-2.320326889373516,-2.478,0.7164163616396897,-2.2995137210716408,-2.48089323632194,0.02102043822466721,0.12955708565548588,0.015034198760986328,0.0684448685964035,0.027851591709497445,0.0728223028298605,0.5,0.0,1,1
1757357343.8780909,0.7177353920874681,-2.319688781962241,-2.4735,0.7153367145813151,-2.3020097166214475,-2.4808733911663756,0.01930466012119752,0.15346905379986342,0.01501929759979248,0.06213595823917352,0.026183681056177265,0.06364454860091065,0.5,0.0,1,1
1757357343.90755,0.715306136529463,-2.321736846143203,-2.4648,0.7180932952584905,-2.3032696752562933,-2.475394147968317,0.021471856592333024,0.31055724706625204,0.014912009239196777,0.060663618420738134,0.02382284660661374,0.06062750491895818,0.5,0.0,1,1
1757357343.9418836,0.7143142700074672,-2.3225598612835885,-2.4506,0.7186967666118104,-2.3031394378669723,-2.4691379353424048,0.027203201446280374,0.4757483307959085,0.014985203742980957,0.06512220178451178,0.022683117449896987,0.06540549875958564,0.5,0.0,1,1
1757357343.9743495,0.7136044680837605,-2.3231659443638097,-2.4372,0.7166133216596922,-2.3033402110659154,-2.449376003983578,0.023459922711909015,0.4391087474807042,0.015295147895812988,0.08313044097124439,0.02374468284573449,0.07758344880005334,0.5,0.0,1,1
1757357344.0080192,0.7276226135770937,-2.3104438757199226,-2.4212,0.7211059033223349,-2.3023960990751293,-2.4296303798333594,0.013353109211104138,0.8195405140125479,0.015122056007385254,0.08523168737407923,0.024339904711453458,0.07977211652693972,0.5,0.0,1,1
1757357344.0427725,0.7326707098940856,-2.3057202738441847,-2.4087,0.7206621758369479,-2.30983356628603,-2.4134533944065915,0.013554291692972746,0.46286224686927996,0.015430569648742676,0.08825323055847507,0.02395450430700296,0.08469013750911855,0.5,0.0,1,1
1757357344.0746193,0.73750852960662,-2.3010730419325736,-2.3972,0.7225616698647104,-2.310809681820404,-2.4049609709473674,0.01945362286299098,0.45684208414728655,0.014571309089660645,0.07899355220029716,0.025182329447089383,0.08094974942953603,0.5,0.0,1,1
1757357344.1081686,0.7475635548027219,-2.2916551134130603,-2.3855,0.7272967684789987,-2.3126137411219916,-2.3899352793147415,0.02949031037362626,0.5921896106826169,0.015260815620422363,0.0776755600853383,0.025408746014295373,0.07612376466071648,0.5,0.0,1,1
