time,odom_x,odom_y,odom_theta,lidar_x,lidar_y,est_x,est_y,est_theta,diff,rate_of_change,expected_change,covariance_trace,linear_vel,angular_vel,anomaly_detected,attack_active
1757356698.2346747,0.0,0.0,-0.7446,0.0,0.0,0.0,0.0,-0.7451788140130419,0.0008186363701943034,0.0031629105113525763,0.0,0.06654067051917542,0.0,0.0,0,0
1757356698.265976,0.0,0.0,-0.7447,0.0,0.0,0.0,0.0,-0.7452314148067457,0.0007507819164931373,0.0032047433487672017,0.0,0.06640236339155756,0.0,0.0,0,0
1757356698.2992208,0.0,0.0,-0.7447,0.0,0.0,0.0,0.0,-0.7452758012448825,0.0008137064349773571,0.0,0.0,0.06644238894608591,0.0,0.0,0,0
1757356698.3324127,0.0,0.0,-0.7448,0.0,0.0,0.0,0.0,-0.7453311409090363,0.000750727982077537,0.0030209405002841654,0.0,0.06646839664628668,0.0,0.0,0,0
1757356698.3658147,0.0,0.0,-0.7449,0.0,0.0,0.0,0.0,-0.745395967783347,0.0007011819242042083,0.003002236124432407,0.0,0.06650079886132262,0.0,0.0,0,0
1757356698.3991997,0.0,0.0,-0.745,0.0,0.0,0.0,0.0,-0.745466693132145,0.0006599114280425589,0.0030012049744547833,0.0,0.06652388716470281,0.0,0.0,0,0
1757356698.4323936,0.0,0.0,-0.7451,0.0,0.0,0.0,0.0,-0.7455407907339638,0.0006232984746361581,0.0030187010594192897,0.0,0.06652649948278402,0.0,0.0,0,0
1757356698.4658751,0.0,0.0,-0.7452,0.0,0.0,0.0,0.0,-0.7456198375719538,0.0005937553286893271,0.002996659188659773,0.0,0.06654531998362616,0.0,0.0,0,0
1757356698.5027938,0.0,0.0,-0.7452,0.0,0.0,0.0,0.0,-0.7456893255226691,0.0006934049667471909,0.0,0.0,0.06680128697929832,0.0,0.0,0,0
1757356698.5328891,0.0,0.0,-0.7453,0.0,0.0,0.0,0.0,-0.7457289496110335,0.0006064414802806617,0.003330954026000475,0.0,0.06649437716064795,0.0,0.0,0,0
1757356698.5658545,0.0,0.0,-0.7454,0.0,0.0,0.0,0.0,-0.7457970019377533,0.0005612162995665138,0.0030446015592104775,0.016422510147094727,0.06648680383495426,0.5,0.0,0,0
1757356698.6012402,0.0,0.0,-0.7455,0.0,0.0,0.008127960519378844,0.0,-0.7458826510707204,0.0183592853204298,0.002830336525162928,0.017665743827819824,0.0666538076918757,0.5,0.0,0,0
1757356698.6334314,0.0,0.0,-0.7456,0.0,0.0,0.019819180689654353,0.0,-0.745953807946097,0.044712237005375015,0.003112887041709617,0.016062259674072266,0.06654344249355706,0.5,0.0,0,0
1757356698.6660945,0.0,0.0,-0.7453,0.0,0.0,0.034693669725643646,0.0,-0.745915528964773,0.07824599602144415,0.009211299898247675,0.01628434658050537,0.06650125523022656,0.5,0.0,0,0
1757356698.6991522,0.003507723819422946,-0.003230097510641018,-0.7452,0.0,0.0,0.05226986204364796,-0.000600511749010607,-0.7458558157422561,0.11400502452581283,0.14456225278445126,0.01649618148803711,0.06650286187212023,0.5,0.0,0,0
1757356698.7323675,0.004983850662928371,-0.004591822270862785,-0.7461,0.0,0.0,0.0709056302443264,-0.001238924934733957,-0.7460719110504588,0.15440350834413302,0.06639497480261967,0.016573071479797363,0.06651514290830615,0.5,0.0,0,0
